         16789652 function calls (16783228 primitive calls) in 30.542 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    24872    0.008    0.000    0.008    0.000 <frozen _collections_abc>:812(__init__)
     3109    0.008    0.000    0.013    0.000 sessions.py:780(get_adapter)
     3109    0.008    0.000    1.291    0.000 connection.py:204(connect)
     6218    0.008    0.000    0.390    0.000 poolmanager.py:216(clear)
     6218    0.008    0.000    0.191    0.000 models.py:812(generate)
    71509    0.008    0.000    0.008    0.000 {method '__exit__' of '_thread.lock' objects}
    52853    0.008    0.000    0.008    0.000 {method 'items' of 'dict' objects}
     3111    0.008    0.000    0.008    0.000 {built-in method _thread.allocate_lock}
     3109    0.008    0.000    0.410    0.000 sessions.py:794(close)
    24872    0.008    0.000    0.008    0.000 {method 'setdefault' of 'collections.OrderedDict' objects}
     6218    0.008    0.000    0.078    0.000 structures.py:76(copy)
    12436    0.008    0.000    0.058    0.000 {built-in method builtins.next}
     9327    0.008    0.000    0.076    0.000 message.py:615(get_content_maintype)
    34206    0.008    0.000    0.008    0.000 {method 'rpartition' of 'str' objects}
     3109    0.008    0.000    0.093    0.000 connection.py:208(putrequest)
     6218    0.008    0.000    0.021    0.000 socket.py:99(_intenum_converter)
     3109    0.008    0.000    0.024    0.000 {method 'close' of '_io.BufferedReader' objects}
     3109    0.007    0.000    0.012    0.000 models.py:335(__init__)
     3109    0.007    0.000    0.034    0.000 sessions.py:159(resolve_redirects)
    46641    0.007    0.000    0.007    0.000 {method 'strip' of 'str' objects}
     6218    0.007    0.000    0.013    0.000 enum.py:686(__call__)
    37308    0.007    0.000    0.007    0.000 timeout.py:119(_validate_timeout)
     6218    0.007    0.000    0.010    0.000 sessions.py:805(<listcomp>)
     3109    0.007    0.000    0.021    0.000 connectionpool.py:75(__init__)
     3109    0.007    0.000    0.008    0.000 retry.py:448(_is_method_retryable)
     3109    0.007    0.000    0.421    0.000 poolmanager.py:225(connection_from_host)
